DEBUG 2024-10-21 12:12:55,334 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\rest_framework\templatetags\__init__.py first seen with mtime 1729063320.214724
DEBUG 2024-10-21 12:12:55,334 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\db\models\constraints.py first seen with mtime 1729063315.1646595
DEBUG 2024-10-21 12:12:55,334 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\utils\regex_helper.py first seen with mtime 1729063315.3002977
DEBUG 2024-10-21 12:12:55,335 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\contrib\staticfiles\utils.py first seen with mtime 1729063315.0629313
DEBUG 2024-10-21 12:12:55,336 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\rest_framework\pagination.py first seen with mtime 1729063320.0591414
DEBUG 2024-10-21 12:12:55,338 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\asyncio\streams.py first seen with mtime 1722958350.0
DEBUG 2024-10-21 12:12:55,339 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\re\_casefix.py first seen with mtime 1722958352.0
DEBUG 2024-10-21 12:12:55,339 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\contrib\postgres\forms\array.py first seen with mtime 1729063314.4943354
DEBUG 2024-10-21 12:12:55,340 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\contrib\staticfiles\handlers.py first seen with mtime 1729063315.0609372
DEBUG 2024-10-21 12:12:55,340 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\db\models\functions\math.py first seen with mtime 1729063315.1816142
DEBUG 2024-10-21 12:12:55,341 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\utils\translation\reloader.py first seen with mtime 1729063315.3062816
DEBUG 2024-10-21 12:12:55,341 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\rest_framework\generics.py first seen with mtime 1729063320.057147
DEBUG 2024-10-21 12:12:55,342 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\utils\cache.py first seen with mtime 1729063315.28434
DEBUG 2024-10-21 12:12:55,343 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\re\__init__.py first seen with mtime 1722958352.0
DEBUG 2024-10-21 12:12:55,344 autoreload File C:\Users\Lenovo\Desktop\django rest framework\django_rest\Lib\site-packages\django\core\files\move.py first seen with mtime 1729063315.0868676
